productId,productNumber,productNameBold,productNameThin,category,productNumberShort,producerName,supplierName,isKosher,bottleTextShort,restrictedParcelQuantity,isOrganic,isEthical,ethicalLabel,isWebLaunch,productLaunchDate,isCompletelyOutOfStock,isTemporaryOutOfStock,alcoholPercentage,volumeText,volume,price,country,originLevel1,originLevel2,categoryLevel1,categoryLevel2,categoryLevel3,categoryLevel4,customCategoryTitle,assortmentText,usage,taste,tasteSymbols/0,tasteSymbols/1,tasteSymbols/2,tasteClockGroupBitter,tasteClockGroupSmokiness,tasteClockBitter,tasteClockFruitacid,tasteClockBody,tasteClockRoughness,tasteClockSweetness,tasteClockSmokiness,tasteClockCasque,assortment,recycleFee,isManufacturingCountry,isRegionalRestricted,packaging,isNews,images/0/imageUrl,images/0/fileType,images/0/size,isDiscontinued,isSupplierTemporaryNotAvailable,sugarContent,sugarContentGramPer100ml,vintage,otherSelections,tasteClocks/0/key,tasteClocks/0/value,tasteClocks/1/key,tasteClocks/1/value,tasteClocks/2/key,tasteClocks/2/value,color,dishPoints,tasteSymbols/3,seal/0,seal/1,seal/2,seal/3,seal/4,seal/5,seal/6,seal/7,seal/8,seal/9,seal/10,seal/11,seal/12,seal/13,seal/14,seal/15,seal/16,seal/17,seal/18
6116767,3219703,Umeå,X-mas Ale,,32197,U and Me Beer,U and Me Beer AB,false,Flaska,0,false,false,,false,2021-11-03T00:00:00,false,false,6.5,330 ml,330,29.8,Sverige,Västerbottens län,Umeå kommun,Öl,Porter & Stout,Torr porter och stout,,"Öl, Torr porter och stout",Lokalt & Småskaligt,"Serveras vid 10-12°C som sällskapsdryck, eller till rätter av lamm- och nötkött.","Maltig, rostad smak med inslag av kavring, russin, farinsocker, apelsin, kaffe och mörk choklad.",Lamm,Nöt,Sällskapsdryck,,,6,0,6,0,2,0,1,TSLS,0,true,false,Flaska,false,https://product-cdn.systembolaget.se/productimages/6116767/6116767,,,false,false,0,0,,,TasteClockBitter,6,TasteClockBody,6,TasteClockSweetness,2,Brunsvart färg.,,,,,,,,,,,,,,,,,,,,,
643653,8965303,Jädraöl,TrädgårdsPilsner,,89653,Jädraås Bryggeri,Jädraås Bryggeri AB,false,Flaska,0,false,false,,false,2012-02-01T00:00:00,false,false,5,330 ml,330,24.9,Sverige,Gävleborgs län,Gävle kommun,Öl,Ljus lager,Pilsner - tjeckisk stil,,"Öl, Ljus lager, Pilsner - tjeckisk stil",Lokalt & Småskaligt,Serveras vid 8-10°C till husmanskost eller som sällskapsdryck.,"Maltig smak med inslag av honung, knäckebröd och apelsin.",Fågel,Fläsk,Sällskapsdryck,,,5,0,4,0,1,0,1,TSLS,0,true,false,Flaska,false,https://product-cdn.systembolaget.se/productimages/643653/643653,,,false,false,0,0,,,TasteClockBitter,5,TasteClockBody,4,TasteClockSweetness,1,Gul färg.,,,,,,,,,,,,,,,,,,,,,
662594,8939003,Helsingborgs,Witbier,,89390,Helsingborgs Bryggeri,Helsingborgs Bryggeri AB,false,Flaska,0,false,false,,false,2012-05-02T00:00:00,false,false,4.8,330 ml,330,25.9,Sverige,Skåne län,Helsingborgs stad,Öl,Veteöl,Witbier,,"Öl, Veteöl, Witbier",Lokalt & Småskaligt,"Serveras vid 6-8°C som sällskapsdryck eller till rätter av fisk och ljust kött, gärna med heta och asiatiska inslag.","Kryddig smak med inslag av ingefära, koriander, citrus och skumbanan.",Asiatiskt,Fisk,Fläsk,,,2,0,4,0,2,0,1,TSLS,0,true,true,Flaska,false,,,,false,false,0,0,,,TasteClockBitter,2,TasteClockBody,4,TasteClockSweetness,2,"Något klar, ljusgul färg.",,Kryddstarkt,,,,,,,,,,,,,,,,,,,
737740,8961003,Helsingborgs Pilsner,,,89610,Helsingborgs Bryggeri,Helsingborgs Bryggeri AB,false,Flaska,0,false,false,,false,2013-03-01T00:00:00,false,false,4.5,330 ml,330,21.9,Sverige,Skåne län,Helsingborgs stad,Öl,Ljus lager,Pilsner - tysk stil,,"Öl, Ljus lager, Pilsner - tysk stil",Lokalt & Småskaligt,Serveras vid 8-10°C till husmanskost eller som sällskapsdryck.,"Maltig smak med tydlig beska, inslag av apelsin, honung, örter och knäckebröd.",Fläsk,Lamm,Nöt,,,8,0,6,0,1,0,1,TSLS,0,true,true,Flaska,false,https://sb-product-media-prod.azureedge.net/productimages/737740/737740,,,false,false,0,0,,,TasteClockBitter,8,TasteClockBody,6,TasteClockSweetness,1,Gul färg.,,Sällskapsdryck,,,,,,,,,,,,,,,,,,,
768082,8916203,Eskilstuna Ölkultur,Dubbel IPA,,89162,Eskilstuna Ölkultur,Eskilstuna Ölkultur AB,false,Flaska,0,false,false,,false,2013-07-01T00:00:00,false,false,8.7,330 ml,330,34.9,Sverige,Södermanlands län,Eskilstuna kommun,Öl,Ale,Imperial/Dubbel IPA,,"Öl, Ale, Imperial/Dubbel IPA ",Lokalt & Småskaligt,Serveras vid 10-12°C till smakrik husmanskost eller som sällskapsdryck.,"Humlearomatisk doft med tydlig beska, inslag av citronkaramell, basilika, timjan och ananas.",Lamm,Nöt,Sällskapsdryck,,,9,0,8,0,2,0,1,TSLS,0,true,false,Flaska,false,https://product-cdn.systembolaget.se/productimages/768082/768082,,,false,false,0,0,,,TasteClockBitter,9,TasteClockBody,8,TasteClockSweetness,2,Gul färg.,,,,,,,,,,,,,,,,,,,,,
14866841,3317203,Helsingborgs,Kaffestout,,33172,Helsingborgs Bryggeri,Helsingborgs Bryggeri AB,false,Flaska,0,false,false,,false,2018-09-03T00:00:00,false,false,8.5,330 ml,330,29.9,Sverige,Skåne län,Helsingborgs stad,Öl,Porter & Stout,Söt porter och stout,,"Öl, Söt porter och stout",Lokalt & Småskaligt,Serveras vid 12-14°C som sällskapsdryck eller till rätter av mörkt kött.,"Maltig, rostad smak med sötma, inslag av kaffe, choklad, kavring och citrus.",Lamm,Nöt,Sällskapsdryck,,,6,0,7,0,5,0,1,TSLS,0,true,false,Flaska,false,https://product-cdn.systembolaget.se/productimages/14866841/14866841,,,false,false,0,0,,,TasteClockBitter,6,TasteClockBody,7,TasteClockSweetness,5,Mörkbrun färg.,,Vilt,,,,,,,,,,,,,,,,,,,
15475531,3321703,Arvika bryggeri,Golden Ale,,33217,Arvika bryggeri,Arvika bryggeri,false,Flaska,0,false,false,,false,2018-12-03T00:00:00,false,false,5.2,330 ml,330,26.6,Sverige,Värmlands län,Arvika kommun,Öl,Ale,Golden/Blond ale,,"Öl, Ale, Golden/Blond ale",Lokalt & Småskaligt,Serveras vid 8-10°C till rätter av ljust kött eller som sällskapsdryck.,"Maltig smak med inslag av vörtbröd, aprikos, pomerans och kryddor.",Fågel,Fläsk,Sällskapsdryck,,,4,0,5,0,2,0,1,TSLS,0,true,true,Flaska,false,https://product-cdn.systembolaget.se/productimages/15475531/15475531,,,false,false,0,0,,,TasteClockBitter,4,TasteClockBody,5,TasteClockSweetness,2,"Något oklar, brungul färg.",,,K,a,p,s,y,l,,,,,,,,,,,,,
15475620,3322603,Stjernsund Brygghus,Polhem,,33226,Stjernsund Brygghus,Stjernsund Brygghus AB,false,Flaska,0,true,false,,false,2018-10-01T00:00:00,false,false,6.5,330 ml,330,29.9,Sverige,Dalarnas län,Hedemora kommun,Öl,Ale,India pale ale (IPA),,"Öl, Ale, India pale ale (IPA) ",Lokalt & Småskaligt,"Serveras vid 8-10°C till rätter av fläsk- eller lammkött, eller som sällskapsdryck.","Maltig smak med inslag av knäckebröd, ljus sirap och apelsinskal.",Fläsk,Lamm,Sällskapsdryck,,,6,0,5,0,2,0,1,TSLS,0,true,false,Flaska,false,https://product-cdn.systembolaget.se/productimages/15475620/15475620,,,false,false,0,0,,,TasteClockBitter,6,TasteClockBody,5,TasteClockSweetness,2,"Mörk, gul färg.",,,,,,,,,,,,,,,,,,,,,
15757881,3182715,Aros,Pale Ale,,31827,Aros Brewing Co,Tempel Brygghus AB,false,Burk,0,false,false,,false,2018-09-03T00:00:00,false,false,4.8,330 ml,330,19.9,Sverige,Uppsala län,Uppsala kommun,Öl,Ale,Amerikansk pale ale (APA),,"Öl, Ale, Amerikansk pale ale (APA) ",Lokalt & Småskaligt,Serveras vid 8-10°C till rätter av lamm- eller nötkött eller som sällskapsdryck.,"Örtig smak med tydlig beska, inslag av tallbarr, smörkola, ananas och citrus.",Lamm,Nöt,Sällskapsdryck,,,7,0,6,0,1,0,1,TSLS,1,true,false,Burk,false,https://product-cdn.systembolaget.se/productimages/15757881/15757881,,,false,false,0,0,,,TasteClockBitter,7,TasteClockBody,6,TasteClockSweetness,1,"Något oklar, gulbrun färg.",,,,,,,,,,,,,,,,,,,,,
16398485,3326815,Smokey Mountain,,,33268,Svartbergets Fjällbryggeri,Åreskutans Bryggeri AB,false,Burk,0,false,false,,false,2018-11-01T00:00:00,false,false,6,330 ml,330,31.2,Sverige,Jämtlands län,Åre kommun,Öl,Annan öl,Rököl,,"Öl, annan öl, Rököl",Lokalt & Småskaligt, Serveras vid 8-10°C till rätter av mörkt kött eller som sällskapsdryck.,"Rökig, maltig smak med inslag av rågbröd, charkuterier, aprikos och apelsin.",Lamm,Nöt,Sällskapsdryck,,,5,0,6,0,2,0,1,TSLS,1,true,false,Burk,false,https://product-cdn.systembolaget.se/productimages/16398485/16398485,,,false,false,0,0,,,TasteClockBitter,5,TasteClockBody,6,TasteClockSweetness,2,"Oklar, mörk, gulbrun färg.",,Vilt,,,,,,,,,,,,,,,,,,,
